date,time,CD,CM,CU,PREC,RH2m,SNOW,ST,SWD,SWDtop,TT2M,WS100m,WS10m,consumption,generation
5/13/19,0:00,0.01,0,0,0,86.07,0,5.12,0,0,6.42,7.79,2.71,0.060134,0
5/13/19,0:15,0,0,0,0,87.53,0,4.72,0,0,6.09,7.77,2.67,0.062331868,0
5/13/19,0:30,0,0,0,0,88.96,0,4.37,0,0,5.77,7.76,2.61,0.060610399,0
5/13/19,0:45,0,0,0,0,90.31,0,4.02,0,0,5.45,7.57,2.47,0.058554933,0
5/13/19,1:00,0,0,0,0,91.58,0,3.67,0,0,5.12,7.42,2.32,0.051315333,0
5/13/19,1:15,0,0,0,0,92.82,0,3.25,0,0,4.75,7.19,2.11,0.057329999,0
5/13/19,1:30,0,0,0,0,94.27,0,2.81,0,0,4.3,7.16,1.98,0.050208668,0
5/13/19,1:45,0,0,0,0,95.53,0,2.4,0,0,3.88,7.21,1.89,0.0735516,0
5/13/19,2:00,0,0,0,0,96.48,0,2.07,0,0,3.52,7.19,1.88,0.055947734,0
5/13/19,2:15,0,0,0,0,97.22,0,1.81,0,0,3.27,7.11,1.93,0.056615866,0
5/13/19,2:30,0,0,0,0,97.8,0,1.65,0,0,3.09,6.97,1.98,0.059249467,0
5/13/19,2:45,0,0,0,0,98.29,0,1.55,0,0,2.98,6.87,2.02,0.05299,0
5/13/19,3:00,0,0,0,0,98.81,0,1.45,0,0,2.87,6.76,2.01,0.056302931,0
5/13/19,3:15,0,0,0,0,99.36,0,1.27,0,0,2.71,6.71,1.99,0.062493333,0
5/13/19,3:30,0,0,0,0,99.78,0,1.08,0,0,2.51,6.75,1.96,0.064456799,0
5/13/19,3:45,0,0,0,0,99.97,0,0.88,0,0,2.3,6.9,1.95,0.056912399,0.000177384
5/13/19,4:00,0,0,0,0,100,0,0.69,0,0,2.1,7.14,1.94,0.067115335,0.004780557
5/13/19,4:15,0.66,0,0,0,99.79,0,1.16,0,0,2.14,7.28,1.89,0.072570399,0.010370087
5/13/19,4:30,0.66,0,0,0,99.86,0,1.33,0,0,2.2,7.18,1.83,0.079184935,0.013114975
